id,created_at,username,tweet,mentions,likes_count,retweet,hashtags
1285552143097835522,1595334489000,rterdogan,"Cumhurbaşkanlığı Hükümet Sistemi 🇹🇷 | SAĞLIK 🩺
#ReformİcraatDeğişim pic.twitter.com/dBiAWZmJBZ",[],30529,False,['#reformi̇craatdeğişim']
1285545839868489729,1595332987000,rterdogan,Cumhurbaşkanlığı Hükümet Sistemi 🇹🇷 | GENÇLİK ve SPOR 🏃🏻 pic.twitter.com/rhr7B93vXa,[],20795,False,[]
1285540581423357952,1595331733000,rterdogan,Cumhurbaşkanlığı Hükümet Sistemi 🇹🇷 | EĞİTİM 📚 pic.twitter.com/DY8KagwiIQ,[],27417,False,[]
1285532760371863553,1595329868000,rterdogan,Cumhurbaşkanlığı Hükümet Kabinesi İki Yıllık Değerlendirme Toplantısı https://twitter.com/i/broadcasts/1BdGYnkVQaBJX …,[],28184,False,[]
1285288548158054400,1595271644000,rterdogan,"Kıbrıs Barış Harekâtı’nın 46. yıl dönümünde, Kıbrıs halkının Barış ve Özgürlük Bayramı’nı gönülden tebrik ediyorum.

Kurtuluş mücadelesinde canlarını feda eden aziz şehitlerimizi rahmet ve minnetle, gazilerimizi şükran ve saygıyla yâd ediyorum.

 https://www.tccb.gov.tr/basin-aciklamalari/365/120663/kibris-baris-harekati-nin-46-yildonumu-mesaji …",[],43471,False,[]
1284948545834045441,1595190581000,rterdogan,"Şampiyon Medipol Başakşehir ile birlikte zorlu geçen sezonda mücadeleleriyle futbolun rekabetçi fakat aynı zamanda birleştirici ruhunu yansıtan tüm takımlarımıza teşekkür ediyor, her birinin başarılarının devamını diliyorum.",['ibfk2014'],34298,False,[]
1284948391550758912,1595190544000,rterdogan,2019-20 Süper Lig Cemil Usta sezonu şampiyonu @ibfk2014 Medipol Başakşehir Futbol Kulübü’nü ve taraftarlarını gönülden tebrik ediyorum. pic.twitter.com/wus8Jr1HCL,['ibfk2014'],56961,False,[]
1284823203492356096,1595160697000,rterdogan,Ayasofya... pic.twitter.com/SqXRX3N5WG,[],247072,False,[]
1284571138912387076,1595100600000,rterdogan,"Dünyada en iyiler liginde oyuncu olmaya hazırız. 

“Devrim otomobilini” müzeye mahkûm edenler, “devrin otomobilinin” yollarımızda kullanılmasına mâni olamayacaklardır. pic.twitter.com/cFNMAV75Lo",[],57626,False,[]
1284541509858144256,1595093536000,rterdogan,"Bugün TOGG Mühendislik, Tasarım ve Üretim Merkezi'nin yapımına başlayarak 60 yıllık hayalimizi gerçeğe dönüştürme yolunda tarihi bir adım daha attık.

Bizlerden desteğini esirgemeyen aziz milletimize ve tüm emeği geçenlere şükranlarımı sunuyorum. Hayırlı, uğurlu olsun. pic.twitter.com/5kjin19NlX",[],97770,False,[]
